'S GRAVEMOER, Jeanne van;;
.;;
A KEMPIS, Nicolaus;;
A L'ATELIER;;
A.;;
A. J. S.;;
ABADIE, Louis;;
ABATE, Rocco;;
ABBIATE, Louis;;
ABBOT, Alain;;
ABE, Keiko;;
ABE, Ryotaro;;
ABEL, Carl Fridrich;ABEL, Carl Friedrich;
ABEL, Carl Friedrich;;
ABEL-STRUTH, Sigrid;;
ABELING, AndrÇ;;
ABENDROTH, Walter;;
ABENIZ, Isaac;ALBENIZ, Isaac;
ABERT, A. A.;;
ABERT, Hermann;;
ABERT, Johan Josef;;
ABOS, Girolamo;;
ABOU-KHALIL, Rabih;;
ABRAHAM, Gerald;;
ABRAHAM, Lars Ulrich;;
ABRAHAM, Phil;;
ABRASSART, J.;;
ABREU, JosÇ Gomez de;;
ABROMONT, Claude;;
ABSIL, Jean;;
ABSIL, Jean Nicols Joseph;ABSIL, Jean;
ABT, Franz;;
ACADêMIE DES MAITRES DE DANSE;;
ACCOLAY, J. B.;;
ACHARD, A.-M.;;
ACHARD, Marcel;;
ACHRON, Joseph;;
ACHT, Rob van;;
ACKER, Dieter;;
ACKER, Jan Vanden;;
ACKERMANS, H.;ACKERMANS, Hippolyte;
ACKERMANS, Hippolyte;;
ACKET, Karin;;
Acomal;;
ACOSTA, Paul D';;
ADADJIEV, Vasko;;
ADAM, A.;ADAM, Adolphe;
ADAM, Ad.;ADAM, Adolphe;
ADAM, Adolph;ADAM, Adolphe;
ADAM, Adolphe;;
ADAM, Antoine;;
ADAM, J. A.;;
ADAM, Louis;;
ADAMEK, Ondrej;;
ADAMS, Byron;;
ADAMS, David;;
ADAMS, Frankie;;
ADAMS, John;;
ADAMS, K. Gary;;
ADAMS, Martin;;
ADAMS, Stanley;;
ADAMS, Stephen;;
ADDAMIANO, Antonio;;
ADDINSELL, Richard;;
ADDISON, John;;
ADEMOLLO, A.;;
ADENOT, Pauline;;
ADER, RÇmi;;
AD‘S, Thomas;;
ADHEMAR, Abel d';;
ADINARI, Ludovico;;
ADLER, Guido;;
ADLER, Samuel;;
ADLINGTON, Robert;;
ADLUNG, Jakob;;
ADNET, Jacques;;
ADOLFO, Antonio;;
ADORNO, Theodor W.;;
ADRIAENSSENS, Brecht;;
ADRIAENSSENS, Ivo;;
ADRIAENSSENS, Jan;;
ADRIO, Adam;;
ADSON, John;;
ADZINYAH, Abraham;;
AEBERSOLD, Jamey;;
AERTS, FÇlix;;
AERTS, Hans;;
AERTS, Karel;;
AERTS, Peter;;
AFANASIEFF, Nicolas;;
AFENDULIS, Olivia;;
AGAY, Denes;;
AGEE, Richard J.;;
AGNESI, Maria Teresa;;
AGNIEZ, Emile;;
AGNIFILI, Lorenzo;;
AGOBET, Jean-Louis;;
AGOCSY, Laszlo;;
AGOSTINI, Ludovico;;
AGRELL, Johan Joachim;;
AGREVES;AGR‘VES, Ernest d';
AGR‘VES, Ernest d';;
AGRICOLA, Alexander;;
AGRICOLA, Johann Friedrich;;
AGRICOLA, Martin;;
AGSTERIBBE, Frank;;
AGTHE, A.;;
AGUILERA, Carlos Caro;;
AHARONI, Eliezer;;
AHLE, J.G.;AHLE, Johann Georg;
AHLE, Johann Georg;;
AHLGRIMM, Isolde;;
AHO, Kalevi;;
AHRENS, Christian;;
AHRENS, Joseph;;
AICHINGER, Gregor;;
AIMê, M.;;
AINEY, Lyette;;
AKA MOON;;
AKDIL, Sayram;;
AKE, David;;
AKI, Tohru;;
AKTUG, Mehmet;;
ALABIEF;;
ALADµR, Zolt†n;;
ALADOV, Nikolaj;;
ALAIN, Jehan;;
ALAIN, Mary;;
ALARD, Delphin;;
ALARY, G.;;
ALBAN;;
ALBENIZ, I.;ALBENIZ, Isaac;
ALBENIZ, Isaac;;
ALB‘RA, Philippe;;
ALBERGATI CAPACELLI, Pirro;;
ALBERT, êmile;;
ALBERT, Eugäne d';;
ALBERT, F.;;
ALBERT, Heinrich;;
ALBERT, Karel;;
ALBERT, Ludwig;;
ALBERT, Maurice;;
ALBERTI;;
ALBERTI, Domenico;;
ALBERTI, Giuseppe Matteo;;
ALBERTI, H.;;
ALBERTINI, Ignazio;;
ALBICASTRO, Henrici;ALBICASTRO, Henricus;
ALBICASTRO, Henrico;ALBICASTRO, Henricus;
ALBIMOOR, W.;ALBIMOOR, Willy;
ALBIMOOR, Willy;;
ALBINONI Tomaso;ALBINONI, Tomaso;
ALBINONI, Tom.;ALBINONI, Tomaso;
ALBINONI, Tomaso;;
ALBOIZE;;
ALBOREA, Francesco;;
ALBRECHT-HOHMAIER, Martin;;
ALBRECHTSBERGER, Johan Georg;ALBRECHTSBERGER, Johann Georg;
ALBRECHTSBERGER, Johann Georg;;
ALCALAY, Lucia;;
ALCµZAR, Emiliano Garc°a;;
ALDAY, les fils;;
ALDE;;
ALDER, Ernest;;
ALDRICH, Henry;;
ALDRICH, Ronnie;;
ALDRIDGE, Amanda;;
ALDRIDGE, Robert;;
ALEKSANDROV, Anatolij;;
ALEKSANDROV, Yuriy;;
ALEMBERT, Jean le rond d';;
ALEOTTI, Giuseppe;;
ALESSSANDRO, M.;;
ALETTER, W.;ALETTER, Wilhelm;
ALETTER, Wilhelm;;
ALEX, Jo;;
ALEXANDERS, Jos.;;
ALEXANDRA, Liana;;
ALEXANDRE, Charles-Guillaume;;
ALEXANDRE, D.;ALEXANDRE, Drains;
ALEXANDRE, Drains;;
ALEXANDRE, Ivan A.;;
ALEXANDROW, Alexander;;
ALEXIS, Georges;ALEXIS, Georges L.-J.;
ALEXIS, Georges L.-J.;;
ALFANO, Franco;;
ALFEJANO, Archeo;;
ALFIERI, Pietro;;
ALFONSO;;
ALFONSO, Nicolas;;
ALFORD, J.;;
Algemeen Nederlands Zangverbond;;
ALHO, Olli;;
ALI, Rashied;;
ALI-SADE, Frangis;;
ALIMONDA, Heitor;;
ALINK, Gustav A.;;
ALISCH, Horst;;
ALIX, Claude;;
ALIZADE, Akshin;;
ALJABIEW, Alexander;;
ALKAN, Charles-Valentin;;
ALKER, Hugo;;
All-China Federation of Democratic Youth;;
ALLAIRE;;
ALLARD, Cedric;;
ALLARD, J. W. N.;;
ALLART;;
ALLEGRI, Domenico;;
ALLEGRI, Gregorio;;
ALLEN, Corey;;
ALLEN, Daniel;;
ALLEN, Walter C.;;
ALLENDE-BLIN, Juan;;
ALLERME, Jean-Marc;;
ALLEVI, Giuseppe;;
ALLIER, Gabriel;;
ALLISON, Emily;;
ALLO, M.;;
ALLSOP, Peter;;
ALMADA, Daniel Alejandro;;
ALMAYRAC, Guillaume;;
ALMENRAEDER, Charles;;
ALMQUIST, Ingrid;;
ALONSO, Miguel;;
ALOPHE, M.;;
ALPAERTS, Flor;;
ALPHERAKY, Achilles;;
ALPHONSE;;
ALSTONE, Alex;;
ALTAROCHE;;
ALTENA, Ernst van;;
ALTENA, Maarten;;
ALTENBURG, Michael;;
ALTMANIS, Alvils;;
ALVIN, Juliette;;
ALWYN, William;;
ALYAB'EV, Aleksandr;;
AMADEI, Pilippo;;
AMADORI;;
AMALIA, Anna;;
AMANI, Nicolai;;
AMANN, Dominique;;
AMANN, Jean-Pierre;;
AMANTI, Lucio Franco;;
AMAT, LÇopold;;
AMBROISE, Thomas;;
AMBROS, August Wilhelm;;
AMBROSCH, Jos.-C.;;
AMBROSIO, A. d';;
AMELLER, AndrÇ;;
AMELOT, [mevr.];AMELOT;
AMICONI;;
AMIOT;;
AMLER, Ch.;;
AMMANN, Anna;;
AMMERBACH, Elias Nikolaus;;
AMMERLAAN, Gerard;;
AMO, Joaquin Arnau;;
AMON, Johann Andreas;;
AMSEL, Georg;;
AMY, Gilbert;;
ANCEAUX, M.;;
ANCEL, Louis;;
ANCELOT;;
ANCION, Marcel;;
ANCOURT, Edward;;
ANDELHOF, Franz;;
ANDERSEN, Diane;;
ANDERSEN, Joachim;;
ANDERSON, Donna K.;;
ANDERSON, Leroy;;
ANDERSON, Ray;;
ANDERSSON, Benny;;
ANDO, J.;;
ANDRADE, Aug;;
Andraud;ANDRAUD;
ANDRê, A.;;
ANDRE, C. L. I.;;
ANDRê, Emile;;
ANDRê, Johann;;
ANDRê, Johann Anton;;
ANDRE, Johann Anton: zie ANDRê, Johann Anton;ANDRê, Johann Anton;
ANDRE-MARCHAL, Suzanne;;
ANDREAE, Johann Gottfried;;
ANDRêE, Elfrida;;
ANDREIS, Josip;;
ANDRêOLIS, F.;;
ANDREOZZI, Gaetano;;
ANDRES, Bernard;;
ANDRES, Camille;;
ANDREZ, J.;;
ANDRIASOV, Iosif;;
ANDRIES, GÇo;;??
ANDRIES, Geo.;;??
ANDRIES, Jean;;
ANDRIESSEN, Hendrik;;
ANDRIESSEN, Jurriaan;;
ANDRIESSEN, Louis;;
ANDRIESSEN, Pieter;;
ANDRIEU;ANDRIEU, Fernand;
ANDRIEU, Fernand;;
ANDRIZZI, Matteo;;
ANDRZEJOWSKI, Adam;;
ANERIO, Giovanni Francesco;;
ANFOSSI, Pasquale;;
ANFUSO, Nella;;
ANGELES, Victoria de los;;
ANGELET, Charles;;
ANGELIS, Ernesto de;;
ANGENOT, Brieuc-Egisthe;;
ANGERER, Edmund;;
ANGERER, Paul;;
ANGERMöLLER, Rudolph;;
ANGERSTEIN, Johann Carl;;
ANGILETTE, Elizabeth;;
ANGLEBERT, Jean-Henry D';;
ANGOT-BRACQUEMOND, A.;;
ANGRê, Franz;;
ANGUS, W.;;
ANICET;;??
ANICET-BOURGEOIS;;??
ANIMUCCIA, Giovanni;;
ANKA, Paul;;
ANNIBALE, Gianuario;;
Anonimo;ANONYMUS;
ANONYMOUS;ANONYMUS;
ANONYMUS;;
ANSEEUW, Jef;;
ANSELME DEPREZ, D. S. B.;;
ANSERMET, Ernest;;
ANTCLIFFE, Herbert;;
ANTEGNATI, Costanzo;;
ANTHEIL, George;;
ANTHEUNIS, Gentil Theodoor;;
ANTHIOME, Eugäne;;
ANTHONISSEN, Peter;;
ANTHONY, James R.;;
ANTHONY, Ray;;
ANTICO, Andrea;;
ANTIGNANI, Luca;;
ANTIQUIS, Giovanni Jacopo de;;
ANTOINE, Georges;;
ANTOKOLETZ, Elliott;;
ANTOLINI, Bianco Maria;;
ANTOLINI, Francesco;;
ANTONINI, Claire;;
ANTONIOTTI, Giorgio;;
ANTONIOTTO, Giorgio;ANTONIOTTI, Giorgio;
ANTONIS, Eric;;
ANTONOPULOS, Margaret;;
ANTUNES, Jorge;;
ANZAGHI, Davide;;
APEL, Willi;;
APERGHIS, Georges;;
APITIUS, C.;;
APOSTEL, Hans Erich;;
APOTHêLOZ, Jean;;
APPENZELLER, Benedictus;;
APPIANO, Giovanni;;
APPLEBAUM, Samuel;;
APPLEDORN, Mary Jeanne van;;
APRILE, Giuseppe;;
ARAGO, Etienne;;
ARAGO, M. J.;;
ARAJA, Francesco;;
ARATA, Paolo;;
ARAYA, Francesco;;
ARBAN;ARBAN, Jean-Baptiste;
ARBAN, Jean-Baptiste;;
ARBARETAZ, Marie Claude;;
ARBEAU, Thoinot d';;
ARBELLINI, Jean;;
ARBOUCHE, Sonia;;
ARCADELT, Jacques;;
ARCAMONE, Biancamaria;;
ARCANA;;
ARCH, Gwyn;;
ARCHBOLD, Lawrence;;
ARCHER, Harry;;
ARCHIVE OF TRADITIONAL MUSIC, INDIANA UNIVERSITY;;
ARCQ, A.;;
ARDITI;;
ARDITI, Luigi;;
ARDOIN, John;;
ARDUZ RUIZ, Fernando;;
ARENKSY, Anton;ARENSKY, Anton Stepanovich;
ARENSKY, Anton;ARENSKY, Anton Stepanovich;
ARENSKY, Anton Stepanovich;;
ARENTS, Prosper;;
ARESTI, Giulio Cesare;;
ARETINUS, Guido;;
ARIGHI, Giacomo;;
ARINGER, Klaus;;
ARINGER-GRAU, Ulrike;;
Arion;;
ARIOSTI, Attilio;;
ARISTOXENUS;;
ARLETTAZ, Vincent;;
ARMA, Paul;;
ARMANO, Ugo;;
ARMSTRONG, Lil;;
ARMSTRONG, Louis;;
ARNAUD, Etienne;;
ARNAUD, GÇrald;;
ARNE, Thomas Augustine;;
ARNIE, Ralf;;
ARNOLD, Alison;;
ARNOLD, Ben;;
ARNOLD, Claude Graveley;;
ARNOLD, Corliss Richard;;
ARNOLD, Malcolm;;
ARNOLD, Samuel;;
ARNOLD, Youri von;;
ARNOLDT, Richard;;
ARNOU, Marieke;;
ARNOULD;;
ARNOULD, Auguste;;
ARNTZENIUS, L. M. G.;;
ARRAU, Claudio;;
ARRESTI, Giulio Cesare;;
ARRIBAS COMES, Almudena;;
ARRIEU, Claude;;
ARS LUMINIS;;
Art Ensemble Of Chicago,;;
ARTAUD, Emile;;
ARTAUD, Pierre-Yves;;
ARTEAGA, Stefano;;
ARTEMOV, Vjaceslav;;
ARTHê, M.;;
ARTOIS, Armand d';;
ARTOOS, Bob;;
ARTOOS, Prosper;;
ARTOT DE PADILLA, DÇsirÇe;;
ART‚T, Jean DÇsirÇ;;
ARTS, Jan;;
ARUTIUNIAN, Aleksandr;;
ARVERS;;
ARVERS, Felix;;
ARYS, Stefanie;;
ARYVAS, Dion;;
ASAKA, Mitsuru;;
ASAOKA, Makiko;;
ASCHER, J.;ASCHER, Joseph;
ASCHER, Joseph;;
ASCIC, Ursula;;
ASHDOWN AUDSLEY, George;;
ASHLEY, Robert;;
ASHTON, Hugh;;
ASIOLI, B.;ASIOLI, Bonifazio;
ASIOLI, Bonifazio;;
ASIOLI, Luigi;;
ASOLA, Giovanni Matteo;;
ASOW, Erich H. Mueller von;;
ASPLMAYR, Franz;;
ASRIEL, Andre;;
ASSIS, Paulo de;;
ASSIS, ZÇ de;;
ASSOCIATED BOARD EDITION;;
ASSOCIATION DES CONCERTS DU CONSERVATOIRE DE MUSIQUE;;
Association internationale des bibliothäques, archives et centres de documentation musicaux;;
ASTORGA;;
ASTORGA, Emanuele d';;
ATKINSON, Charles;;
ATLAS, Allan W.;;
ATTAINGNANT, Pierre;;
ATTERBERG, Kurt;;
ATWELL, Winifred;;
ATYS;;
AUBAIN, Jean;;
AUBANEL, Georges;;
AUBAT DE SAINT FLOUR, D';;
AUBER;AUBER, Daniel-Franáois-Esprit;
AUBER, D. F. E.;AUBER, Daniel-Franáois-Esprit;
AUBER, D.E.F.;AUBER, Daniel-Franáois-Esprit;
AUBER, D.F.E.;AUBER, Daniel-Franáois-Esprit;
AUBER, Daniel-Franáois-Esprit;AUBER, Daniel-Franáois-Esprit;
AUBERLEN, Samuel- Gottlob;;
AUBERT, Jacques;;
AUBERT, Louis;;
AUBRY;;
AUBRYET, Xavier;;
AUDIBERTI, Marie-Louise;;
