[BuxWV	BuxWV
[BWV	BWV
[G	G
[Hob	Hob
[Sz	Sz
A2	
A3	
Altner	
AV	
avril	DELETE
AWV	
A	
B	
B.	B
Badley	
Baytelman	
BB	
Ben.	Ben
Ben	
Brook	
Brown	
Bryan	
BS	
Busoni Verzeichnis	BV
BuxWV	
BV	
BVW	BWV
BWV	
BWV.	BWV
C	
C.	C
Callen	
Cannabich	
Coen	
D.	D
DD	
D	
Eisen	
F.	F
Falck	
FbWV	
Fk	
FP	
FWV	
F	
FVW	FWV
G.	G
GerB	
GiaS.	GiaS
G	
Gedrukte	DELETE
GraunWV	
Grave	DELETE
Gyselings
GiaS	
GWV
H.	H
HelB	
H	
Hill	
Hob	
Hob.	Hob
HP	
HV	
HWV	
HW	
JenS	
JV	
Jähns	
J	
JB	
K.	K
K..	K
KarB	
Kirkpatrick	
KK	
Krebs	
KrebsWV	
KV	
K	
KV.	KV
L.	L
Labelle	
Lee	
Letztes	DELETE
Leytens	
LorB	
LWV	
L	
Libro	DELETE
M.S.	MS
M.	M
mars	DELETE
MH	
MWV	
M	
P.	P
P	
par	DELETE
Perger	
P.V.	P
Part	DELETE
PWM	DELETE
Pincherle	P
QV	
R.	R
Recueil	DELETE
RH	
Riemann	
RV	
S.	S
SdB.	SdB
SF.	SF
SV	
SWV	
Sz	
S	
SdB	
T.	T
Theil	DELETE
TrV	
TVWV	
TWV	
T	
VB	
Volume	DELETE
VR	
W.	W
WC	
Werk
WeV	
Willem	
WKO	
Wolf	
WoO	
WO	
Wq	
W	
Wq.	Wq
WV	
WWV	
Z.	Z
Z	
Zakin	
ZWV	
